grid_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed,station_id,longitude,latitude,station_class
beijing_grid_216,2018-05-01 00:00:00,CLOUDY,19.0,1003.7289999999999,41.0,51.24,10.13,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 01:00:00,CLOUDY,21.0,1004.0124,34.0,55.15,14.5,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 02:00:00,HAZE,22.0,1004.1256,28.0,53.31,18.84,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 03:00:00,HAZE,22.0,1004.0727,23.0,49.01,22.17,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 04:00:00,PARTLY_CLOUDY_DAY,23.0,1003.0893,19.0,52.69,22.26,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 05:00:00,HAZE,23.0,1002.823,19.0,53.64,22.86,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 06:00:00,HAZE,24.0,1002.8283,21.0,52.29,19.99,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 07:00:00,RAIN,23.0,1001.765,27.0,43.46,12.67,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 08:00:00,RAIN,21.0,1003.939,34.0,5.63,6.32,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 09:00:00,RAIN,17.0,1002.334,39.0,295.37,5.7,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 10:00:00,CLOUDY,16.0,1005.2809,56.0,329.42,7.06,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 11:00:00,RAIN,15.0,1005.4646,59.0,38.71,3.72,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 12:00:00,CLOUDY,14.0,1005.7656,61.0,82.92,7.15,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 13:00:00,CLOUDY,14.0,1006.3743,64.0,82.56,7.1,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 14:00:00,CLOUDY,14.0,1007.0844,67.0,58.34,4.11,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 15:00:00,CLOUDY,14.0,1007.5907,69.0,344.43,3.43,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 16:00:00,PARTLY_CLOUDY_NIGHT,12.5,1007.0995,74.0,263.33,2.64,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 17:00:00,PARTLY_CLOUDY_NIGHT,11.4,1005.7632,70.0,291.77,4.6,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 18:00:00,CLOUDY,11.3,1005.6891,67.0,303.1,6.39,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 19:00:00,CLOUDY,11.2,1005.6653,66.0,305.31,7.49,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 20:00:00,CLOUDY,11.1,1007.033,66.0,305.88,7.99,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 21:00:00,CLOUDY,11.0,1005.9657,60.0,316.98,7.91,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 22:00:00,CLOUDY,12.0,1006.3666,45.0,349.13,9.76,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-01 23:00:00,CLOUDY,14.0,1008.1793,37.0,4.55,11.54,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 00:00:00,CLOUDY,18.0,1008.5909,29.0,13.55,12.9,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 01:00:00,PARTLY_CLOUDY_DAY,20.0,1007.427,22.0,15.95,12.67,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 02:00:00,PARTLY_CLOUDY_DAY,21.0,1009.7394,18.0,12.36,12.36,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 03:00:00,CLEAR_DAY,22.0,1008.7989,16.0,6.14,11.53,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 04:00:00,CLEAR_DAY,22.0,1007.2025,14.0,1.76,11.73,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 05:00:00,CLEAR_DAY,23.0,1006.5372,13.0,356.22,12.13,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 06:00:00,PARTLY_CLOUDY_DAY,24.0,1005.7867,13.0,344.47,9.82,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 07:00:00,PARTLY_CLOUDY_DAY,24.0,1004.9780000000001,14.0,295.66,5.82,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 08:00:00,CLOUDY,22.0,1004.2760000000001,15.0,232.63,8.88,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 09:00:00,CLOUDY,23.0,1003.8802,18.0,211.75,11.51,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 10:00:00,CLOUDY,23.0,1003.5894,19.0,200.86,10.75,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 11:00:00,CLOUDY,22.0,1002.9333,22.0,137.57,3.11,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 12:00:00,CLOUDY,20.0,1004.8602,25.0,51.07,6.7,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 13:00:00,PARTLY_CLOUDY_NIGHT,20.0,1005.3430000000001,27.0,29.9,7.7,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 14:00:00,PARTLY_CLOUDY_NIGHT,19.0,1005.6819,29.0,358.6,6.32,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 15:00:00,PARTLY_CLOUDY_NIGHT,19.0,1006.0023,30.0,329.93,6.94,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 16:00:00,PARTLY_CLOUDY_NIGHT,13.0,1005.5089,30.0,305.26,10.75,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 17:00:00,PARTLY_CLOUDY_NIGHT,12.4,1006.1465,29.0,343.05,8.28,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 18:00:00,PARTLY_CLOUDY_NIGHT,12.3,1006.7221,29.0,17.39,9.23,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 19:00:00,CLEAR_NIGHT,12.2,1007.0551,30.0,21.46,8.47,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 20:00:00,CLEAR_NIGHT,12.0,1007.2744,31.0,3.83,6.71,liulihe_aq,116.0,39.6,other
beijing_grid_216,2018-05-02 21:00:00,CLEAR_NIGHT,12.0,1007.5862,31.0,344.99,7.69,liulihe_aq,116.0,39.6,other
